created_at,entry_id,field1
2019-03-05 06:45:55 UTC,123,99
2019-03-05 06:46:11 UTC,124,99
2019-03-05 06:46:28 UTC,125,99
2019-03-05 06:46:45 UTC,126,99
2019-03-05 06:47:02 UTC,127,99
2019-03-05 06:47:18 UTC,128,99
2019-03-05 06:49:49 UTC,129,99
2019-03-05 11:58:26 UTC,130,0
2019-03-05 11:58:54 UTC,131,0
2019-03-05 11:59:20 UTC,132,0
2019-03-05 11:59:49 UTC,133,0
2019-03-05 12:00:18 UTC,134,0
2019-03-05 12:00:47 UTC,135,0
2019-03-05 12:01:17 UTC,136,0
2019-03-05 12:01:46 UTC,137,0
2019-03-05 12:02:15 UTC,138,0
2019-03-05 12:03:02 UTC,139,0
2019-03-05 12:03:31 UTC,140,0
2019-03-05 12:04:00 UTC,141,0
2019-03-05 12:04:29 UTC,142,0
2019-03-05 12:04:59 UTC,143,0
2019-03-05 12:05:28 UTC,144,0
2019-03-05 12:05:57 UTC,145,0
2019-03-05 12:06:27 UTC,146,0
2019-03-05 12:06:56 UTC,147,0
2019-03-05 12:07:25 UTC,148,0
2019-03-05 12:07:55 UTC,149,0
2019-03-05 12:08:24 UTC,150,0
2019-03-05 12:08:53 UTC,151,0
2019-03-05 12:09:22 UTC,152,0
2019-03-05 12:09:51 UTC,153,0
2019-03-05 12:10:21 UTC,154,0
2019-03-05 12:10:50 UTC,155,0
2019-03-05 12:11:43 UTC,156,0
2019-03-05 12:12:12 UTC,157,0
2019-03-05 12:12:42 UTC,158,0
2019-03-05 12:13:11 UTC,159,0
2019-03-05 12:13:40 UTC,160,0
2019-03-05 12:18:33 UTC,161,0
2019-03-05 12:19:02 UTC,162,0
2019-03-05 12:19:31 UTC,163,0
2019-03-05 12:20:06 UTC,164,0
2019-03-05 12:20:36 UTC,165,0
2019-03-05 12:21:05 UTC,166,0
2019-03-05 12:21:34 UTC,167,0
2019-03-05 12:22:15 UTC,168,0
2019-03-05 12:22:44 UTC,169,0
2019-03-05 12:23:13 UTC,170,0
2019-03-05 12:23:42 UTC,171,0
2019-03-05 12:24:11 UTC,172,0
2019-03-05 12:24:40 UTC,173,0
2019-03-05 12:25:09 UTC,174,0
2019-03-05 12:25:39 UTC,175,0
2019-03-05 12:26:08 UTC,176,0
2019-03-05 12:26:37 UTC,177,0
2019-03-05 12:27:06 UTC,178,0
2019-03-05 12:27:28 UTC,179,0
2019-03-05 12:27:57 UTC,180,0
2019-03-05 12:28:26 UTC,181,0
2019-03-05 12:28:55 UTC,182,0
2019-03-05 12:29:24 UTC,183,0
2019-03-05 12:29:53 UTC,184,0
2019-03-05 12:30:22 UTC,185,0
2019-03-05 12:30:51 UTC,186,0
2019-03-05 12:31:19 UTC,187,0
2019-03-05 12:31:47 UTC,188,0
2019-03-05 12:32:16 UTC,189,0
2019-03-05 12:32:44 UTC,190,0
2019-03-05 12:33:13 UTC,191,0
2019-03-05 12:33:41 UTC,192,0
2019-03-05 12:34:09 UTC,193,0
2019-03-05 12:34:38 UTC,194,0
2019-03-05 12:35:06 UTC,195,0
2019-03-05 12:35:35 UTC,196,0
2019-03-05 12:36:03 UTC,197,0
2019-03-05 12:36:31 UTC,198,0
2019-03-05 12:38:25 UTC,199,0
2019-03-05 12:38:54 UTC,200,0
2019-03-05 12:39:22 UTC,201,0
2019-03-06 12:13:40 UTC,202,0
2019-03-07 12:18:33 UTC,203,0
2019-03-08 12:19:02 UTC,204,0
2019-03-09 12:19:31 UTC,205,0
2019-03-10 12:20:06 UTC,206,0
2019-03-11 12:20:36 UTC,207,0
2019-03-12 12:21:05 UTC,208,0
2019-03-13 12:21:34 UTC,209,0
2019-03-14 13:22:15 UTC,210,0
2019-03-15 18:22:04 UTC,211,0
2019-03-16 05:23:13 UTC,212,0
2019-03-17 12:23:42 UTC,213,0
2019-03-18 12:24:11 UTC,214,0
2019-03-19 12:24:40 UTC,215,0
2019-03-20 12:25:09 UTC,216,0
2019-03-21 12:32:39 UTC,217,0
2019-03-22 12:26:08 UTC,218,0
2019-03-23 12:26:37 UTC,219,0
2019-03-24 17:45:06 UTC,220,0
2019-03-25 12:27:28 UTC,221,0
2019-03-26 12:27:57 UTC,222,0
